Year,Country,Industry,AI_Startups,Job_Postings,Skill,Avg_Salary_USD,Tool,Popularity_Score,Investment_Million_USD,Growth_Rate_%
2023,Japan,Retail,182,14011,NLP,130869,Bard,98,97.7,17.47
2024,Netherlands,Finance,388,19099,NLP,69830,TensorFlow,62,782.5,20.27
2022,South Africa,Manufacturing,200,17905,AI Tools,130348,TensorFlow,69,63.8,9.97
2020,Japan,Finance,420,7332,Cloud Computing,124825,PyTorch,69,580.2,19.54
2021,Japan,Automotive,420,2035,Data Science,126902,Bard,60,515.8,6.87
2024,Switzerland,Telecom,283,5815,Machine Learning,80080,Bard,75,621.1,6.53
2025,UAE,Healthcare,132,13842,NLP,119921,Copilot,74,708.6,7.15
2022,India,Healthcare,166,9989,AI Tools,100670,Copilot,80,687.6,18.7
2020,Netherlands,Retail,328,12574,Cloud Computing,92984,Copilot,69,260.9,23.07
2023,Australia,Manufacturing,444,12057,Data Science,126111,PyTorch,84,669.4,28.56
2021,Indonesia,Telecom,212,15576,Machine Learning,92002,Bard,79,591.4,16.53
2025,Spain,Telecom,248,6013,Python,132426,Copilot,95,647.7,6.64
2025,Germany,Retail,453,7228,Machine Learning,69548,Gemini,97,385.8,7.49
2025,Finland,Healthcare,154,15378,Cloud Computing,66595,Gemini,63,596.1,11.03
2022,France,Telecom,237,12836,AI Tools,142286,Copilot,60,57.3,8.24
2020,USA,Telecom,398,8142,Machine Learning,124904,Copilot,56,261.8,22.54
2024,Finland,Telecom,321,19281,NLP,149692,TensorFlow,58,734.4,7.49
2020,Denmark,Manufacturing,434,17980,Cloud Computing,104738,Gemini,80,529.2,12.34
2023,Sweden,Automotive,460,7947,NLP,105014,Gemini,76,582.8,15.62
2020,Japan,Retail,411,5882,Cloud Computing,127372,PyTorch,60,564.1,5.36
2021,Finland,Manufacturing,315,10908,Python,76914,Claude,79,940,6.51
2025,Australia,Finance,234,9369,AI Tools,87275,ChatGPT,53,511.5,7.35
2020,Israel,Healthcare,407,10632,Data Science,121115,Bard,56,815.5,7.73
2025,UK,IT,295,18568,Cloud Computing,106438,Claude,90,499.1,26.93
2021,Finland,Finance,487,14343,Python,128933,Bard,87,75.2,10.39
2024,Singapore,Telecom,206,14848,AI Tools,75547,TensorFlow,55,220.6,12.27
2025,Brazil,Retail,451,4126,Data Science,86373,TensorFlow,88,874,12.65
2024,Japan,Retail,466,2116,Data Science,136250,Copilot,100,913.8,13.91
2022,USA,Finance,383,2498,Cloud Computing,132421,ChatGPT,88,601.1,12.93
2025,Denmark,Telecom,182,4620,AI Tools,131900,TensorFlow,78,786.6,11.1
2021,South Korea,Automotive,294,12663,NLP,64677,Gemini,77,262.6,15.3
2021,UK,Telecom,420,2537,Data Science,69589,Copilot,61,873.4,14.97
2024,Netherlands,Healthcare,321,5306,Cloud Computing,78436,PyTorch,70,242.2,25.3
2021,Finland,Healthcare,343,7251,Cloud Computing,112000,Gemini,75,79.3,21.91
2021,Singapore,Telecom,197,13276,Data Science,92272,Copilot,96,363,19.84
2021,Germany,Education,161,7411,Data Science,76073,ChatGPT,63,126,6.51
2022,Switzerland,Healthcare,281,7216,NLP,110743,TensorFlow,53,433,13.96
2022,USA,Automotive,388,9058,NLP,128515,Copilot,65,845.3,8
2020,India,Manufacturing,267,15055,Cloud Computing,88909,Bard,96,670.7,25.58
2023,Germany,Telecom,433,4457,NLP,92774,Copilot,73,243.2,6.82
2025,France,Education,140,3314,NLP,92489,PyTorch,68,836.6,25.19
2024,Mexico,Automotive,116,6439,NLP,91726,TensorFlow,75,426.4,19.19
2025,Turkey,IT,179,3624,AI Tools,68320,PyTorch,62,742.4,27.57
2021,UAE,Manufacturing,462,17721,AI Tools,67363,Gemini,91,182.6,25.95
2020,UK,Telecom,86,9678,Python,113785,TensorFlow,70,311.9,17.64
2024,France,Finance,299,18723,Machine Learning,67839,Gemini,67,97.6,20.42
2024,Spain,Automotive,268,4409,NLP,131905,Bard,50,137.1,19.85
2020,Singapore,Education,206,7435,AI Tools,88980,Copilot,100,107.9,23.31
2024,Australia,IT,216,16242,Python,63889,TensorFlow,56,920.2,23.66
2023,France,Manufacturing,56,7748,AI Tools,99982,PyTorch,51,246.7,9.77
2021,USA,IT,186,13191,Data Science,60917,Gemini,84,911.4,7.17
2025,Switzerland,Finance,351,8102,Machine Learning,108675,PyTorch,98,798.8,6.45
2021,Norway,Manufacturing,132,11897,AI Tools,133771,Bard,52,397.6,19.64
2020,South Korea,Telecom,306,9699,Data Science,144182,TensorFlow,80,225.3,9.26
2024,Switzerland,IT,328,2872,Cloud Computing,78552,Claude,72,980.8,29.45
2025,Italy,Healthcare,436,6422,AI Tools,115053,PyTorch,92,631.6,6.41
2025,Singapore,IT,471,12824,AI Tools,130310,Copilot,60,617.7,7.07
2020,Spain,Manufacturing,89,13568,Machine Learning,107032,Copilot,82,188.2,22.82
2024,India,Telecom,131,6868,AI Tools,147138,TensorFlow,71,527.3,22.64
2022,South Africa,IT,407,12804,Cloud Computing,106451,Claude,51,357.4,11.89
2021,Canada,Education,288,10844,Data Science,138563,Claude,57,136.2,16.12
2021,Italy,Healthcare,181,18149,Data Science,70345,Bard,60,283.1,7.24
2025,South Korea,Education,346,5729,Data Science,86751,Copilot,61,947.9,20.39
2020,Switzerland,Retail,314,6344,AI Tools,120967,PyTorch,68,914.6,8.72
2021,USA,Retail,271,19173,Machine Learning,93560,TensorFlow,95,709.3,21.15
2021,France,Telecom,113,11737,NLP,122191,ChatGPT,68,536.2,11.62
2020,Finland,IT,206,17804,NLP,120754,Bard,92,625.5,18.58
2024,Switzerland,Finance,234,19245,Python,79943,Claude,54,828.7,19.57
2025,Canada,Healthcare,169,7517,Python,141597,TensorFlow,54,730.4,17.99
2025,Finland,Finance,195,8218,Cloud Computing,88223,PyTorch,88,925.4,29.92
2023,Spain,Retail,406,16170,Python,119599,Gemini,72,288.8,12.87
2021,Brazil,Telecom,399,9070,Machine Learning,141387,Gemini,83,66,11.96
2023,USA,Telecom,127,5255,Cloud Computing,105998,ChatGPT,74,226.3,15.17
2023,China,Retail,483,18710,Machine Learning,134685,Claude,52,86.8,11.59
2022,Sweden,Telecom,110,2111,Cloud Computing,95875,ChatGPT,80,455.9,24.84
2022,Australia,Automotive,250,12600,NLP,108923,Gemini,82,134.3,11.05
2025,Denmark,Retail,387,16398,AI Tools,144067,Claude,96,683.8,7.16
2022,China,Manufacturing,303,17558,NLP,130731,ChatGPT,71,288.4,22.63
2020,Switzerland,IT,147,12435,Machine Learning,93529,PyTorch,93,147.7,27.33
2022,Japan,IT,198,13958,Data Science,147222,Gemini,68,671.8,25.33
2020,Italy,Automotive,158,4644,AI Tools,75355,Bard,57,689.5,17.5
2021,Brazil,Finance,169,12782,Cloud Computing,70515,Copilot,98,668,28.73
2022,Finland,Finance,216,5344,Python,137587,Copilot,66,642.8,13.67
2024,South Africa,Manufacturing,364,16453,AI Tools,78568,PyTorch,74,972.8,19.33
2021,Norway,IT,369,10275,Cloud Computing,76134,Copilot,85,783.4,10.13
2023,Israel,Healthcare,281,6404,Python,82515,TensorFlow,91,135.7,18.63
2020,Singapore,Automotive,51,7049,Data Science,79217,Copilot,52,550.5,22.31
2021,Turkey,Manufacturing,311,13333,AI Tools,138155,Claude,81,375.8,16.89
2020,India,Education,56,3944,Cloud Computing,101535,TensorFlow,82,195.2,27.4
2024,UK,Finance,261,12445,Data Science,116809,Copilot,98,898.9,22.07
2023,Mexico,Education,270,10093,Data Science,61150,Claude,57,348.6,14.75
2025,UAE,IT,500,3282,AI Tools,124833,PyTorch,80,457.9,24.48
2022,Brazil,Automotive,436,11210,Cloud Computing,91496,Gemini,86,134.8,22.36
2021,Finland,Manufacturing,461,18936,NLP,101925,ChatGPT,63,938.7,16.05
2024,Mexico,Healthcare,111,2777,AI Tools,119773,Copilot,79,531.6,9.71
2022,Canada,Education,210,10936,Python,93309,ChatGPT,60,992.6,17.59
2022,Norway,Finance,148,13487,Cloud Computing,145196,Gemini,65,510.5,14.24
2023,USA,Education,272,2321,Cloud Computing,138387,ChatGPT,75,130.1,27.72
2022,Mexico,Automotive,318,17566,Data Science,64842,PyTorch,98,154,27.11
2022,USA,Education,209,5735,Cloud Computing,138463,PyTorch,76,312.5,22.83
2021,USA,Healthcare,341,5152,Machine Learning,133306,TensorFlow,91,77.8,29.32
2020,Norway,Manufacturing,223,9156,Python,77451,Copilot,73,439.9,13.88
2023,Sweden,Automotive,346,8961,Python,109735,Gemini,67,271.9,11.68
2024,Japan,IT,316,7701,Python,88637,ChatGPT,83,303.7,27.17
2021,Denmark,Education,409,6016,AI Tools,86568,Copilot,97,107.3,5.53
2021,Mexico,Retail,260,3228,AI Tools,87730,Copilot,88,354.1,27.65
2025,Brazil,Healthcare,430,12533,Machine Learning,124762,TensorFlow,50,561.7,26.06
2025,Japan,Manufacturing,274,2051,Python,97728,PyTorch,92,444.5,25.61
2021,Turkey,Retail,456,11357,Machine Learning,94352,ChatGPT,55,336.9,9.85
2023,Mexico,Retail,375,14485,Cloud Computing,131900,TensorFlow,84,834.3,10.2
2023,UK,Telecom,213,4984,AI Tools,63849,TensorFlow,70,626.3,21.32
2021,UK,Education,124,3388,Data Science,93346,TensorFlow,81,694.5,23.61
2023,USA,Automotive,438,15412,AI Tools,79861,Bard,73,116.7,7.27
2025,Switzerland,Automotive,173,8328,NLP,134473,TensorFlow,63,201.8,14.72
2022,Netherlands,Retail,179,4061,AI Tools,88111,PyTorch,64,263.4,27.02
2023,China,Manufacturing,409,9303,Data Science,103399,PyTorch,67,580.3,10.85
2024,Denmark,Healthcare,348,14876,Python,71801,Claude,68,818.9,29.39
2022,Italy,Telecom,313,4239,Data Science,98920,Copilot,56,400.2,14.06
2025,Finland,Retail,203,3608,Python,131308,Bard,78,543.5,16.34
2021,China,Finance,188,1213,Cloud Computing,104425,ChatGPT,77,151,12.95
2021,China,Retail,499,10801,AI Tools,127538,Gemini,54,497.9,26.77
2025,Netherlands,Automotive,455,5019,NLP,127329,Bard,50,740.1,23.41
2025,Turkey,Manufacturing,185,19080,Cloud Computing,101070,Claude,75,401.2,9.79
2023,Brazil,Telecom,359,5000,NLP,72317,Gemini,56,402.7,26.1
2024,Finland,Finance,478,5814,AI Tools,61366,Bard,79,630.6,11.83
2024,Israel,Education,275,1826,NLP,126594,TensorFlow,94,174.4,18.03
2025,Norway,Manufacturing,96,15581,Machine Learning,66349,ChatGPT,67,471.4,18.29
2021,Israel,Automotive,338,15550,Python,65006,Copilot,57,655.5,24.72
2024,India,Finance,218,10613,NLP,78143,Gemini,71,132.6,8.67
2020,Turkey,Finance,96,15452,AI Tools,136821,ChatGPT,72,555.6,5.16
2024,Brazil,Telecom,428,9266,Python,140851,Claude,76,921.6,18.72
2024,Italy,Telecom,482,13323,AI Tools,111071,Bard,52,885.8,26.6
2024,Germany,Finance,105,2664,Cloud Computing,87039,PyTorch,94,309.8,10.85
2024,Indonesia,Telecom,190,13821,Machine Learning,83035,Claude,84,344.9,7.34
2023,Brazil,Finance,400,19783,Cloud Computing,90309,Copilot,59,165.2,28.92
2021,UAE,Education,290,16450,AI Tools,83989,Claude,73,830.1,19.54
2024,Norway,Retail,444,17468,NLP,133683,PyTorch,80,305,10.43
2024,UK,Manufacturing,350,1864,NLP,141832,Claude,72,529.8,15
2022,Italy,IT,381,18184,AI Tools,147146,Gemini,50,988.4,6.83
2023,Sweden,Manufacturing,128,19372,AI Tools,67454,TensorFlow,71,958.4,28.81
2025,Brazil,IT,410,19251,Python,127435,Claude,90,992.7,27.51
2022,Turkey,Telecom,71,11202,Machine Learning,104391,Claude,54,722.1,15.68
2021,Spain,Manufacturing,235,13402,Cloud Computing,69374,Bard,83,495.7,22.76
2021,Netherlands,Manufacturing,369,7993,Data Science,93969,PyTorch,89,76.6,23.35
2024,Indonesia,Education,383,17991,NLP,100434,Copilot,84,729.7,6.68
2021,Switzerland,Telecom,297,19281,Machine Learning,88660,Gemini,88,101.3,7.42
2022,Brazil,Retail,385,14818,NLP,145287,TensorFlow,78,268.4,25.06
2023,Norway,Automotive,253,16229,Data Science,106396,ChatGPT,51,463,21.84
2021,Switzerland,Manufacturing,105,7084,AI Tools,145017,Bard,65,967.5,28.63
2024,Brazil,Retail,397,5182,Machine Learning,135954,Bard,84,954.2,23.57
2021,Denmark,Telecom,118,11068,AI Tools,62594,PyTorch,64,908.9,19.99
2023,Turkey,Automotive,108,14046,Python,76809,Claude,76,94.5,23.18
2020,Israel,Finance,251,17682,AI Tools,125429,Claude,56,751.6,12.65
2020,Canada,IT,270,1467,Python,120532,PyTorch,50,829.9,13.11
2023,China,Automotive,114,9713,Cloud Computing,91373,PyTorch,91,214.2,15.13
2023,France,Manufacturing,493,16357,Cloud Computing,149982,TensorFlow,72,121.9,12.28
2021,Israel,Telecom,335,15236,Cloud Computing,97453,ChatGPT,72,818.5,6.37
2025,Turkey,Automotive,157,17520,AI Tools,142213,PyTorch,95,506.3,24.24
2023,Australia,Retail,385,2433,AI Tools,108888,PyTorch,84,894.2,10.46
2021,Denmark,Healthcare,400,1570,Cloud Computing,146079,ChatGPT,57,694.1,12.61
2023,Italy,Telecom,392,3654,Cloud Computing,94573,Gemini,97,434.9,29.08
2024,Australia,Retail,315,14038,Machine Learning,98148,TensorFlow,91,986.6,20.04
2021,France,Retail,339,2326,Python,134742,Copilot,99,736.2,19.91
2020,UAE,Finance,220,10066,AI Tools,64915,Bard,91,93.1,11.43
2021,UK,Education,311,15815,NLP,140337,Copilot,95,566.4,26.55
2021,Denmark,IT,492,5818,Python,148791,PyTorch,100,824.9,11.79
2020,Israel,Telecom,307,11759,Python,77203,Copilot,86,726.4,26.24
2024,Turkey,Education,182,18272,Python,125662,Copilot,71,205.9,24.5
2020,Israel,Education,416,18752,Data Science,111325,PyTorch,72,147.3,25.97
2023,Singapore,Manufacturing,249,6570,Python,81711,Bard,64,521.3,18.03
2024,Norway,Education,385,14109,NLP,61595,Claude,89,935.6,17.4
2024,UAE,Automotive,476,8216,Python,73746,Gemini,68,488.3,18.54
2020,Turkey,Manufacturing,365,19612,Python,85038,Claude,58,472.7,17.76
2022,Brazil,Retail,59,9719,Data Science,78604,Gemini,99,674.7,29.05
2020,Canada,Telecom,394,17378,Data Science,68455,Copilot,55,70.8,21.49
2022,UK,Telecom,196,18741,AI Tools,140153,ChatGPT,67,557.3,18.58
2024,Switzerland,Manufacturing,374,16216,Data Science,113060,Gemini,68,157.6,24.53
2021,Canada,Healthcare,104,2945,Machine Learning,144690,TensorFlow,54,159.6,18.75
2022,Israel,Education,212,6104,AI Tools,111932,ChatGPT,64,299.9,18.27
2024,Norway,Finance,71,10880,NLP,86148,TensorFlow,64,787,10.2
2025,Turkey,Telecom,412,19204,Cloud Computing,118573,ChatGPT,52,312.5,5.76
2021,USA,Education,209,10650,Cloud Computing,140741,Claude,94,981.6,23.07
2021,Netherlands,Finance,442,17072,Data Science,62299,TensorFlow,76,720.3,5.08
2020,Israel,Education,98,8293,Cloud Computing,131245,PyTorch,92,486.6,24.13
2020,India,Education,303,19017,Machine Learning,99858,ChatGPT,66,400.4,13.49
2021,Norway,Retail,106,10430,Machine Learning,101393,ChatGPT,81,277.1,18.06
2020,Norway,Healthcare,302,11438,NLP,142508,PyTorch,88,149.9,12
2024,Sweden,Manufacturing,119,15312,Machine Learning,115452,PyTorch,94,507.7,8.65
2022,Canada,IT,156,5432,AI Tools,131072,Gemini,64,697.2,8.53
2025,South Korea,Retail,154,9856,Machine Learning,143091,Gemini,60,688.3,12.93
2023,Switzerland,Manufacturing,443,12199,AI Tools,77972,Copilot,59,957.3,9.97
2025,UK,Finance,173,8592,AI Tools,92171,Claude,98,714.6,24.15
2023,Norway,Finance,199,15776,NLP,97888,TensorFlow,53,270.8,25.5
2023,Finland,Education,353,19655,Cloud Computing,122311,Claude,89,801.4,19.3
2020,Netherlands,Healthcare,173,3698,Machine Learning,89247,Bard,97,577.7,28.25
2021,Israel,Finance,223,4236,Python,68915,Copilot,67,936.9,19.86
2020,Brazil,Automotive,488,12292,Machine Learning,148661,PyTorch,53,540.8,24.69
2022,Netherlands,Automotive,86,18335,AI Tools,92749,Copilot,83,893.6,23.54
2022,Singapore,Finance,160,10585,Python,101994,Copilot,100,649,15.71
2021,UK,Automotive,166,14939,AI Tools,128568,TensorFlow,70,540.3,24.15
2023,Australia,IT,382,6077,Machine Learning,62530,TensorFlow,76,499.2,28.59
2021,Spain,IT,318,11021,Python,114750,TensorFlow,59,770.3,26.43
2020,Spain,IT,255,6486,Data Science,138859,ChatGPT,57,105.3,26.57
2025,India,Automotive,384,14647,Cloud Computing,101769,PyTorch,95,935.3,8.25
2021,UAE,Healthcare,325,6447,Python,146674,ChatGPT,52,438.4,20.31
2021,Sweden,Automotive,82,7640,Python,97184,Bard,82,436.8,23.47
2024,Canada,Automotive,462,1486,Cloud Computing,87714,Gemini,97,220.6,21.89
2020,India,IT,182,10949,Machine Learning,115652,Bard,96,471.8,16.44
2024,Russia,Retail,474,1275,Python,123572,Bard,88,125.9,7.51
2021,China,IT,180,1213,AI Tools,92570,PyTorch,51,904.4,25.73
2021,Netherlands,Automotive,108,5681,Machine Learning,92362,TensorFlow,62,833.7,9.45
2020,Singapore,Education,191,8081,NLP,117801,Copilot,83,59.8,13.56
2025,Canada,Automotive,418,2169,Machine Learning,111542,ChatGPT,96,317.9,21.88
2020,Italy,Manufacturing,125,9954,Machine Learning,124527,PyTorch,52,287.4,14.38
2021,Mexico,Education,380,16675,Machine Learning,128372,ChatGPT,75,497,16.6
2021,Denmark,Finance,164,17411,AI Tools,74607,TensorFlow,82,517.4,29.28
2025,Brazil,Telecom,401,7993,Python,70513,Bard,72,343.9,6.2
2023,Sweden,Manufacturing,368,2375,Machine Learning,114506,Bard,88,712.8,7.66
2020,Denmark,Finance,79,1664,Cloud Computing,143841,Bard,84,296,24.98
2020,Sweden,Finance,274,14031,Cloud Computing,104855,Copilot,66,514.1,13.65
2020,Israel,Manufacturing,225,8701,Cloud Computing,144532,PyTorch,60,69.6,23.14
2022,India,Finance,114,9888,AI Tools,145482,ChatGPT,57,476.9,21
2022,China,Finance,133,15067,Machine Learning,131165,Bard,88,524.7,12.11
2022,Netherlands,IT,50,3495,Data Science,117345,ChatGPT,65,916.8,8.62
2021,Mexico,Finance,365,6519,Python,83058,Bard,99,795.3,5.91
2025,France,Finance,325,9074,Python,89647,Claude,79,773.4,5.68
2021,Russia,Manufacturing,343,4045,AI Tools,78525,TensorFlow,66,491.3,28.03
2021,Germany,Automotive,428,11268,Machine Learning,79651,Claude,60,827.6,27.42
2023,Singapore,Healthcare,419,2970,Machine Learning,86442,ChatGPT,66,649.1,6.02
2024,USA,Healthcare,136,6278,Data Science,138481,Gemini,70,141.8,11.98
2022,China,Telecom,143,19879,Machine Learning,98609,Copilot,55,475.1,21.62
2020,South Korea,Education,496,14571,AI Tools,68637,PyTorch,95,811,7.24
2023,Denmark,Healthcare,495,13271,Cloud Computing,97997,Copilot,73,980.3,7.62
2021,Israel,Healthcare,351,15365,Python,132241,PyTorch,52,321.6,27.68
2020,Canada,Telecom,182,1962,Cloud Computing,101555,Gemini,72,720.3,15.64
2025,Russia,Retail,349,2431,Python,135142,PyTorch,52,940.4,20.31
2020,Russia,Automotive,150,18606,Python,102640,Copilot,62,185.3,18.54
2023,India,Healthcare,328,5208,Machine Learning,75126,ChatGPT,99,577.4,29.21
2020,Germany,Automotive,315,3625,Machine Learning,131810,TensorFlow,59,176.1,13.38
2025,USA,Retail,318,12600,NLP,128367,ChatGPT,77,874.7,13.83
2021,Israel,Education,349,3422,Machine Learning,142725,TensorFlow,91,171.2,5.84
2021,Italy,Retail,403,13954,Python,82123,PyTorch,82,191.2,16.93
2025,Spain,Automotive,286,6961,AI Tools,130670,ChatGPT,95,625,14.35
2022,South Korea,IT,175,15694,Python,108093,ChatGPT,95,690.5,10.06
2024,Germany,Manufacturing,443,18672,Machine Learning,75896,Gemini,52,309.3,17.12
2023,Netherlands,Retail,169,11175,Cloud Computing,148412,Claude,71,780.6,17.4
2022,Singapore,Manufacturing,417,18409,Machine Learning,139548,PyTorch,82,109.9,12.67
2024,Canada,Healthcare,200,12164,Machine Learning,77369,PyTorch,79,492,10.62
2022,USA,Healthcare,130,17560,Python,84933,Gemini,54,831.6,10.35
2021,Australia,Automotive,479,18993,Data Science,91507,Bard,76,173.7,19.93
2023,South Korea,Finance,259,14467,NLP,131065,Claude,53,713.3,5.62
2024,Israel,Healthcare,186,3079,Data Science,108847,Claude,92,389.8,19.96
2023,South Africa,Healthcare,119,13417,Python,138918,TensorFlow,88,53.8,9.32
2022,India,Retail,486,1728,AI Tools,72823,PyTorch,98,421.1,22.73
